fips,PST045214,PST045213,PST040210,PST120214,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030213,LND110210,POP060210
00000,318857056,316497531,308758105,3.3,2.5,308745538,6.3,23.3,14.1,50.8,77.7,13.2,1.2,5.3,0.2,2.4,17.1,62.6,84.9,12.9,20.7,86.0,28.8,21263779,25.5,132802859,64.9,26.0,176700,115610216,2.63,28155,53046,15.4,7488353,118266253,2.0,22735915,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,990822,3531905.43,87.4
01000,4849377,4833996,4780127,1.4,1.1,4779736,6.1,23.0,14.9,51.5,69.8,26.6,0.7,1.3,0.1,1.5,4.1,66.4,85.0,3.5,5.2,83.1,22.6,388865,24.2,2189938,69.7,15.9,122500,1838683,2.55,23680,43253,18.6,97578,1603100,1.1,315382,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,11763,50645.33,94.4
01001,55395,55136,54571,1.5,1.0,54571,6.1,25.4,13.5,51.5,78.1,18.4,0.5,1.1,0.1,1.7,2.7,75.9,85.0,1.6,3.5,85.6,20.9,5922,26.2,22540,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2916,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,120,594.44,91.8
01003,200111,195443,182265,9.8,7.2,182265,5.7,22.4,18.1,51.2,87.3,9.5,0.7,0.9,0.1,1.5,4.6,83.1,82.1,3.6,5.5,89.1,27.7,19346,25.9,105800,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16390,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1327,1589.78,114.6
01005,26887,26978,27457,-2.1,-1.7,27457,5.8,21.1,15.9,46.5,50.2,47.6,0.6,0.5,0.2,0.9,4.8,46.3,84.8,2.9,5.0,73.7,13.4,2120,24.6,11733,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1525,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,5,884.88,31.0
01007,22506,22504,22919,-1.8,-1.8,22915,5.3,21.3,14.3,46.0,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.6,86.6,1.2,2.1,77.5,12.1,1327,27.6,8901,79.0,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1134,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,19,622.58,36.8
01009,57719,57720,57322,0.7,0.7,57322,6.1,23.8,16.4,50.6,96.0,1.8,0.6,0.3,0.1,1.1,8.7,87.8,88.7,4.3,7.3,77.0,12.1,4540,33.9,23677,81.0,4.5,117100,21108,2.70,20730,44145,15.8,660,6798,3.4,3551,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,4,644.78,88.9
01011,10764,10605,10915,-1.4,-2.8,10914,6.3,21.0,14.6,45.2,27.2,69.9,0.8,0.3,0.8,1.0,7.8,22.2,84.7,5.4,5.2,67.8,12.5,636,26.9,4434,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0.0,485,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,0,622.81,17.5
01013,20296,20289,20946,-3.1,-3.1,20947,6.1,23.3,17.7,53.4,54.3,43.6,0.4,1.0,0.0,0.7,1.2,53.5,94.6,0.8,1.7,76.3,14.0,1497,24.0,9862,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1148,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,3,776.83,27.0
01015,115916,116547,118586,-2.3,-1.7,118572,5.8,22.2,15.5,51.7,76.0,20.9,0.5,0.8,0.1,1.6,3.5,73.1,83.6,2.4,4.5,78.6,16.1,11385,22.5,53053,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6430,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,59,605.87,195.7
