item,fips,fcode
PST045214,51019,5002
PST045214,51515,5002
PST045213,51019,5002
PST045213,51515,5002
PST040210,51019,5002
PST040210,51515,5002
PST120214,51019,5002
PST120213,51019,5002
HSG495213,15005,6509
BZA010213,01000,7022
BZA010213,02000,7022
BZA010213,04000,7022
BZA010213,05000,7022
BZA010213,06000,7022
BZA010213,08000,7022
BZA010213,09000,7022
BZA010213,10000,7022
BZA010213,12000,7022
BZA010213,13000,7022
BZA010213,15000,7022
BZA010213,16000,7022
BZA010213,17000,7022
BZA010213,18000,7022
BZA010213,19000,7022
BZA010213,20000,7022
BZA010213,21000,7022
BZA010213,22000,7022
BZA010213,23000,7022
BZA010213,24000,7022
BZA010213,25000,7022
BZA010213,26000,7022
BZA010213,27000,7022
BZA010213,28000,7022
BZA010213,29000,7022
BZA010213,30000,7022
BZA010213,31000,7022
BZA010213,32000,7022
BZA010213,33000,7022
BZA010213,34000,7022
BZA010213,35000,7022
BZA010213,36000,7022
BZA010213,37000,7022
BZA010213,38000,7022
BZA010213,39000,7022
BZA010213,40000,7022
BZA010213,41000,7022
BZA010213,42000,7022
BZA010213,44000,7022
BZA010213,45000,7022
BZA010213,46000,7022
BZA010213,47000,7022
BZA010213,48000,7022
BZA010213,49000,7022
BZA010213,50000,7022
BZA010213,51000,7022
BZA010213,53000,7022
BZA010213,54000,7022
BZA010213,55000,7022
BZA010213,56000,7022
BZA010213,48269,6004
BZA110213,01000,7022
BZA110213,02000,7022
BZA110213,04000,7022
BZA110213,05000,7022
BZA110213,06000,7022
BZA110213,08000,7022
BZA110213,09000,7022
BZA110213,10000,7022
BZA110213,12000,7022
BZA110213,13000,7022
BZA110213,15000,7022
BZA110213,16000,7022
BZA110213,17000,7022
BZA110213,18000,7022
BZA110213,19000,7022
BZA110213,20000,7022
BZA110213,21000,7022
BZA110213,22000,7022
BZA110213,23000,7022
BZA110213,24000,7022
BZA110213,25000,7022
BZA110213,26000,7022
BZA110213,27000,7022
BZA110213,28000,7022
BZA110213,29000,7022
BZA110213,30000,7022
BZA110213,31000,7022
BZA110213,32000,7022
BZA110213,33000,7022
BZA110213,34000,7022
BZA110213,35000,7022
BZA110213,36000,7022
BZA110213,37000,7022
BZA110213,38000,7022
BZA110213,39000,7022
BZA110213,40000,7022
BZA110213,41000,7022
BZA110213,42000,7022
BZA110213,44000,7022
BZA110213,45000,7022
BZA110213,46000,7022
BZA110213,47000,7022
BZA110213,48000,7022
BZA110213,49000,7022
BZA110213,50000,7022
BZA110213,51000,7022
BZA110213,53000,7022
BZA110213,54000,7022
BZA110213,55000,7022
BZA110213,56000,7022
BZA110213,48269,6004
BZA110213,01011,6010
BZA110213,02013,6010
BZA110213,08033,6007
BZA110213,08061,6007
BZA110213,13061,6008
BZA110213,13125,6007
BZA110213,15005,6005
BZA110213,16023,6009
BZA110213,16025,6007
BZA110213,20025,6008
BZA110213,20031,6011
BZA110213,28021,6010
BZA110213,30019,6009
BZA110213,30037,6006
BZA110213,30069,6006
BZA110213,31005,6006
BZA110213,31007,6006
BZA110213,31009,6005
BZA110213,31091,6007
BZA110213,31103,6006
BZA110213,31115,6006
BZA110213,31117,6005
BZA110213,31167,6010
BZA110213,32009,6007
BZA110213,35028,6013
BZA110213,38007,6008
BZA110213,38057,6011
BZA110213,42057,6012
BZA110213,46073,6010
BZA110213,46095,6007
BZA110213,47127,6010
BZA110213,48033,6005
BZA110213,48263,6007
BZA110213,48301,6005
BZA110213,48327,6007
BZA110213,48393,6007
BZA110213,51181,6010
BZA110213,54017,6010
BZA110213,55078,6009
BZA115213,01000,7022
BZA115213,02000,7022
BZA115213,04000,7022
BZA115213,05000,7022
BZA115213,06000,7022
BZA115213,08000,7022
BZA115213,09000,7022
BZA115213,10000,7022
BZA115213,12000,7022
BZA115213,13000,7022
BZA115213,15000,7022
BZA115213,16000,7022
BZA115213,17000,7022
BZA115213,18000,7022
BZA115213,19000,7022
BZA115213,20000,7022
BZA115213,21000,7022
BZA115213,22000,7022
BZA115213,23000,7022
BZA115213,24000,7022
BZA115213,25000,7022
BZA115213,26000,7022
BZA115213,27000,7022
BZA115213,28000,7022
BZA115213,29000,7022
BZA115213,30000,7022
BZA115213,31000,7022
BZA115213,32000,7022
BZA115213,33000,7022
BZA115213,34000,7022
BZA115213,35000,7022
BZA115213,36000,7022
BZA115213,37000,7022
BZA115213,38000,7022
BZA115213,39000,7022
BZA115213,40000,7022
BZA115213,41000,7022
BZA115213,42000,7022
BZA115213,44000,7022
BZA115213,45000,7022
BZA115213,46000,7022
BZA115213,47000,7022
BZA115213,48000,7022
BZA115213,49000,7022
BZA115213,50000,7022
BZA115213,51000,7022
BZA115213,53000,7022
BZA115213,54000,7022
BZA115213,55000,7022
BZA115213,56000,7022
SBO001207,02105,5047
SBO001207,02230,5047
SBO001207,02195,5090
SBO001207,02275,5090
SBO015207,02105,5047
SBO015207,02195,5090
MAN450207,01007,6021
MAN450207,01029,6021
MAN450207,01063,6021
MAN450207,01087,6021
MAN450207,01105,6021
MAN450207,01119,6021
MAN450207,02050,6021
MAN450207,02060,6021
MAN450207,02068,6021
MAN450207,02070,6021
MAN450207,02100,6021
MAN450207,02105,6021
MAN450207,02110,6021
MAN450207,02164,6021
MAN450207,02170,6021
MAN450207,02180,6021
MAN450207,02185,6021
MAN450207,02188,6021
MAN450207,02195,5090
MAN450207,02198,6021
MAN450207,02220,6021
MAN450207,02230,5047
MAN450207,02240,6021
MAN450207,02270,6021
MAN450207,02275,5090
MAN450207,02282,6021
MAN450207,02290,6021
MAN450207,04001,6021
MAN450207,04007,6021
MAN450207,04009,6021
MAN450207,04011,6021
MAN450207,04012,6021
MAN450207,04023,6021
MAN450207,05013,6021
MAN450207,05025,6021
MAN450207,05049,6021
MAN450207,05065,6021
MAN450207,05073,6021
MAN450207,05075,6021
MAN450207,05077,6021
MAN450207,05095,6021
MAN450207,05097,6021
MAN450207,05101,6021
MAN450207,05105,6021
MAN450207,05107,6021
MAN450207,05109,6021
MAN450207,05117,6021
MAN450207,05129,6021
MAN450207,05135,6021
MAN450207,05137,6021
MAN450207,05141,6021
MAN450207,05147,6021
MAN450207,06003,6021
MAN450207,06009,6021
MAN450207,06015,6021
MAN450207,06027,6021
MAN450207,06033,6021
MAN450207,06035,6021
MAN450207,06043,6021
MAN450207,06049,6021
MAN450207,06051,6021
MAN450207,06091,6021
MAN450207,06105,6021
MAN450207,08003,6021
MAN450207,08007,6021
MAN450207,08009,6021
MAN450207,08011,6021
MAN450207,08015,6021
MAN450207,08017,6021
MAN450207,08019,6021
MAN450207,08021,6021
MAN450207,08023,6021
MAN450207,08025,6021
MAN450207,08027,6021
MAN450207,08033,6021
MAN450207,08037,6021
MAN450207,08039,6021
MAN450207,08045,6021
MAN450207,08047,6021
MAN450207,08049,6021
MAN450207,08051,6021
MAN450207,08053,6021
MAN450207,08055,6021
MAN450207,08057,6021
MAN450207,08061,6021
MAN450207,08063,6021
MAN450207,08065,6021
MAN450207,08071,6021
MAN450207,08073,6021
MAN450207,08075,6021
MAN450207,08079,6021
MAN450207,08081,6021
MAN450207,08083,6021
MAN450207,08089,6021
MAN450207,08091,6021
MAN450207,08093,6021
MAN450207,08095,6021
MAN450207,08097,6021
MAN450207,08099,6021
MAN450207,08103,6021
MAN450207,08105,6021
MAN450207,08107,6021
MAN450207,08109,6021
MAN450207,08111,6021
MAN450207,08113,6021
MAN450207,08115,6021
MAN450207,08117,6021
MAN450207,08119,6021
MAN450207,08121,6021
MAN450207,08125,6021
MAN450207,12003,6021
MAN450207,12007,6021
MAN450207,12013,6021
MAN450207,12015,6021
MAN450207,12017,6021
MAN450207,12027,6021
MAN450207,12037,6021
MAN450207,12041,6021
MAN450207,12043,6021
MAN450207,12045,6021
MAN450207,12049,6021
MAN450207,12059,6021
MAN450207,12065,6021
MAN450207,12067,6021
MAN450207,12077,6021
MAN450207,12079,6021
MAN450207,12087,6021
MAN450207,12093,6021
MAN450207,12125,6021
MAN450207,12131,6021
MAN450207,13007,6021
MAN450207,13011,6021
MAN450207,13025,6021
MAN450207,13027,6021
MAN450207,13029,6021
MAN450207,13037,6021
MAN450207,13039,6021
MAN450207,13043,6021
MAN450207,13049,6021
MAN450207,13053,6021
MAN450207,13061,6021
MAN450207,13079,6021
MAN450207,13085,6021
MAN450207,13101,6021
MAN450207,13111,6021
MAN450207,13125,6021
MAN450207,13141,6021
MAN450207,13149,6021
MAN450207,13155,6021
MAN450207,13167,6021
MAN450207,13169,6021
MAN450207,13171,6021
MAN450207,13173,6021
MAN450207,13177,6021
MAN450207,13181,6021
MAN450207,13183,6021
MAN450207,13191,6021
MAN450207,13197,6021
MAN450207,13201,6021
MAN450207,13209,6021
MAN450207,13221,6021
MAN450207,13229,6021
MAN450207,13231,6021
MAN450207,13235,6021
MAN450207,13239,6021
MAN450207,13243,6021
MAN450207,13253,6021
MAN450207,13259,6021
MAN450207,13263,6021
MAN450207,13265,6021
MAN450207,13267,6021
MAN450207,13269,6021
MAN450207,13281,6021
MAN450207,13283,6021
MAN450207,13287,6021
MAN450207,13289,6021
MAN450207,13291,6021
MAN450207,13301,6021
MAN450207,13303,6021
MAN450207,13307,6021
MAN450207,13309,6021
MAN450207,13315,6021
MAN450207,13321,6021
MAN450207,15005,6021
MAN450207,15007,6021
MAN450207,16003,6021
MAN450207,16007,6021
MAN450207,16013,6021
MAN450207,16015,6021
MAN450207,16021,6021
MAN450207,16023,6021
MAN450207,16025,6021
MAN450207,16033,6021
MAN450207,16035,6021
MAN450207,16037,6021
MAN450207,16039,6021
MAN450207,16041,6021
MAN450207,16043,6021
MAN450207,16045,6021
MAN450207,16049,6021
MAN450207,16057,6021
MAN450207,16059,6021
MAN450207,16061,6021
MAN450207,16063,6021
MAN450207,16071,6021
MAN450207,16073,6021
MAN450207,16079,6021
MAN450207,16081,6021
MAN450207,16085,6021
MAN450207,16087,6021
MAN450207,17003,6021
MAN450207,17009,6021
MAN450207,17013,6021
MAN450207,17035,6021
MAN450207,17039,6021
MAN450207,17057,6021
MAN450207,17059,6021
MAN450207,17061,6021
MAN450207,17065,6021
MAN450207,17069,6021
MAN450207,17071,6021
MAN450207,17079,6021
MAN450207,17083,6021
MAN450207,17087,6021
MAN450207,17125,6021
MAN450207,17129,6021
MAN450207,17131,6021
MAN450207,17133,6021
MAN450207,17147,6021
MAN450207,17149,6021
MAN450207,17151,6021
MAN450207,17153,6021
MAN450207,17169,6021
MAN450207,17171,6021
MAN450207,17175,6021
MAN450207,17185,6021
MAN450207,17193,6021
MAN450207,18007,6021
MAN450207,18013,6021
MAN450207,18025,6021
MAN450207,18055,6021
MAN450207,18101,6021
MAN450207,18115,6021
MAN450207,18125,6021
MAN450207,18153,6021
MAN450207,18155,6021
MAN450207,18161,6021
MAN450207,19001,6021
