name,id,raw,raw2,pop,rate,age_adj
"Autauga County, AL",1001,98,98,864759,11.3,11.2
"Baldwin County, AL",1003,324,324,2895650,11.2,10.5
"Barbour County, AL",1005,33,33,473640,7,6.6
"Bibb County, AL",1007,46,46,374837,12.3,12.1
"Blount County, AL",1009,109,109,940072,11.6,11.4
"Bullock County, AL",1011,0,NA,187222,0,0
"Butler County, AL",1013,38,38,353623,10.7,10
"Calhoun County, AL",1015,226,226,1959867,11.5,11
"Chambers County, AL",1017,56,56,595089,9.4,9.2
"Cherokee County, AL",1019,64,64,429362,14.9,13.8
"Chilton County, AL",1021,88,88,718998,12.2,12.1
"Choctaw County, AL",1023,22,22,245328,9,8.8
"Clarke County, AL",1025,38,38,448517,8.5,8.4
"Clay County, AL",1027,21,21,237511,8.8,8.4
"Cleburne County, AL",1029,44,44,248805,17.7,16.5
"Coffee County, AL",1031,82,82,806326,10.2,9.8
"Colbert County, AL",1033,109,109,926647,11.8,11.4
"Conecuh County, AL",1035,27,27,227665,11.9,11.8
"Coosa County, AL",1037,29,29,194203,14.9,12.9
"Covington County, AL",1039,57,57,637992,8.9,7.8
"Crenshaw County, AL",1041,26,26,235294,11.1,10.9
"Cullman County, AL",1043,133,133,1348617,9.9,9.3
"Dale County, AL",1045,82,82,842346,9.7,9.9
"Dallas County, AL",1047,44,44,750390,5.9,5.8
"DeKalb County, AL",1049,104,104,1166977,8.9,8.7
"Elmore County, AL",1051,120,120,1272732,9.4,9.2
"Escambia County, AL",1053,52,52,645721,8.1,8
"Etowah County, AL",1055,192,192,1762214,10.9,10.4
"Fayette County, AL",1057,47,47,299972,15.7,14.4
"Franklin County, AL",1059,60,60,532441,11.3,10.8
"Geneva County, AL",1061,56,56,446566,12.5,11.6
"Greene County, AL",1063,12,12,158808,NA,NA
"Hale County, AL",1065,18,18,277271,NA,NA
"Henry County, AL",1067,34,34,287392,11.8,10.6
"Houston County, AL",1069,138,138,1646898,8.4,8.3
"Jackson County, AL",1071,116,116,907056,12.8,12.1
