fips,State,State.Abbr,Region,Population,White,Black,Indian.Alaskan,Asian,Hawaii.Pacific,Other,Two.Or.More,White.pct,Black.pct,Indian.Alaskan.pct,Asian.Pct,Hawaii.Pacific.Pct,Other,Two.Or.More.pct
01000,Alabama,AL,South,4779.736,3275.394,1251.311,28.218,53.595,3.057,96.91,71.251,68.5,26.2,0.6,1.1,0.1,2,1.5
02000,Alaska,AK,West,710.231,473.576,23.263,104.871,38.135,7.409,11.102,51.875,66.7,3.3,14.8,5.4,1,1.6,7.3
04000,Arizona,AZ,West,6392.017,4667.121,259.008,296.529,176.695,12.648,761.716,218.3,73,4.1,4.6,2.8,0.2,11.9,3.4
05000,Arkansas,AR,South,2915.918,2245.229,449.895,22.248,36.102,5.863,99.571,57.01,77,15.4,0.8,1.2,0.2,3.4,2
06000,California,CA,West,37253.956,21453.934,2299.072,362.801,4861.007,144.386,6317.372,1815.384,57.6,6.2,1,13,0.4,17,4.9
08000,Colorado,CO,West,5029.196,4089.202,201.737,56.01,139.028,6.623,364.14,172.456,81.3,4,1.1,2.8,0.1,7.2,3.4
09000,Connecticut,CT,Northeast,3574.097,2772.41,362.296,11.256,135.565,1.428,198.466,92.676,77.6,10.1,0.3,3.8,0,5.6,2.6
10000,Delaware,DE,South,897.934,618.617,191.814,4.181,28.549,0.4,30.519,23.854,68.9,21.4,0.5,3.2,0,3.4,2.7
11000,District of Columbia,DC,South,601.723,231.471,305.125,2.079,21.056,0.302,24.374,17.316,38.5,50.7,0.3,3.5,0.1,4.1,2.9
12000,Florida,FL,South,18801.31,14109.162,2999.862,71.458,454.821,12.286,681.144,472.577,75,16,0.4,2.4,0.1,3.6,2.5
13000,Georgia,GA,South,9687.653,5787.44,2950.435,32.151,314.467,6.799,388.872,207.489,59.7,30.5,0.3,3.2,0.1,4,2.1
15000,Hawaii,HI,West,1360.301,336.599,21.424,4.164,525.078,135.422,16.985,320.629,24.7,1.6,0.3,38.6,10,1.2,23.6
16000,Idaho,ID,West,1567.582,1396.487,9.81,21.441,19.069,2.317,79.523,38.935,89.1,0.6,1.4,1.2,0.1,5.1,2.5
17000,Illinois,IL,Midwest,12830.632,9177.877,1866.414,43.963,586.934,4.05,861.412,289.982,71.5,14.5,0.3,4.6,0,6.7,2.3
18000,Indiana,IN,Midwest,6483.802,5467.906,591.397,18.462,102.474,2.348,173.314,127.901,84.3,9.1,0.3,1.6,0,2.7,2
19000,Iowa,IA,Midwest,3046.355,2781.561,89.148,11.084,53.094,2.003,56.132,53.333,91.3,2.9,0.4,1.7,0.1,1.8,1.8
20000,Kansas,KS,Midwest,2853.118,2391.044,167.864,28.15,67.762,2.238,110.127,85.933,83.8,5.9,1,2.4,0.1,3.9,3
21000,Kentucky,KY,South,4339.367,3809.537,337.52,10.12,48.93,2.501,55.551,75.208,87.8,7.8,0.2,1.1,0.1,1.3,1.7
22000,Louisiana,LA,South,4533.372,2836.192,1452.396,30.579,70.132,1.963,69.227,72.883,62.6,32,0.7,1.5,0,1.5,1.6
23000,Maine,ME,Northeast,1328.361,1264.971,15.707,8.568,13.571,0.342,4.261,20.941,95.2,1.2,0.6,1,0,0.3,1.6
24000,Maryland,MD,South,5773.552,3359.284,1700.298,20.42,318.853,3.157,206.832,164.708,58.2,29.4,0.4,5.5,0.1,3.6,2.9
25000,Massachusetts,MA,Northeast,6547.629,5265.236,434.398,18.85,349.768,2.223,305.151,172.003,80.4,6.6,0.3,5.3,0,4.7,2.6
26000,Michigan,MI,Midwest,9883.64,7803.12,1400.362,62.007,238.199,2.604,147.029,230.319,78.9,14.2,0.6,2.4,0,1.5,2.3
27000,Minnesota,MN,Midwest,5303.925,4524.062,274.412,60.916,214.234,2.156,103,125.145,85.3,5.2,1.1,4,0,1.9,2.4
28000,Mississippi,MS,South,2967.297,1754.684,1098.385,15.03,25.742,1.187,38.162,34.107,59.1,37,0.5,0.9,0,1.3,1.1
29000,Missouri,MO,Midwest,5988.927,4958.77,693.391,27.376,98.083,6.261,80.457,124.589,82.8,11.6,0.5,1.6,0.1,1.3,2.1
30000,Montana,MT,West,989.415,884.961,4.027,62.555,6.253,0.668,5.975,24.976,89.4,0.4,6.3,0.6,0.1,0.6,2.5
31000,Nebraska,NE,Midwest,1826.341,1572.838,82.885,18.427,32.293,1.279,79.109,39.51,86.1,4.5,1,1.8,0.1,4.3,2.2
32000,Nevada,NV,West,2700.551,1786.688,218.626,32.062,195.436,16.871,324.793,126.075,66.2,8.1,1.2,7.2,0.6,12,4.7
33000,New Hampshire,NH,Northeast,1316.47,1236.05,15.035,3.15,28.407,0.384,12.062,21.382,93.9,1.1,0.2,2.2,0,0.9,1.6
34000,New Jersey,NJ,Northeast,8791.894,6029.248,1204.826,29.026,725.726,3.043,559.722,240.303,68.6,13.7,0.3,8.3,0,6.4,2.7
35000,New Mexico,NM,West,2059.179,1407.876,42.55,193.222,28.208,1.81,308.503,77.01,68.4,2.1,9.4,1.4,0.1,15,3.7
36000,New York,NY,Northeast,19378.102,12740.974,3073.8,106.906,1420.244,8.766,1441.563,585.849,65.7,15.9,0.6,7.3,0,7.4,3
37000,North Carolina,NC,South,9535.483,6528.95,2048.628,122.11,208.962,6.604,414.03,206.199,68.5,21.5,1.3,2.2,0.1,4.3,2.2
